Tokens sorted by index with attention values (scaled to sum 350):
Position: 246, Token: 钱, Attention Received: 0.8477
Position: 247, Token: 某, Attention Received: 0.9169
Position: 248, Token: 案, Attention Received: 0.7996
Position: 249, Token: 发, Attention Received: 1.0891
Position: 250, Token: 后, Attention Received: 0.9749
Position: 251, Token: 自, Attention Received: 1.0398
Position: 252, Token: 首, Attention Received: 1.3068
Position: 253, Token: ，, Attention Received: 1.4378
Position: 254, Token: 适, Attention Received: 1.2526
Position: 255, Token: 用, Attention Received: 0.9474
Position: 256, Token: 《, Attention Received: 0.9047
Position: 257, Token: 中, Attention Received: 0.6203
Position: 258, Token: 华, Attention Received: 0.6709
Position: 259, Token: 人, Attention Received: 0.4853
Position: 260, Token: 民, Attention Received: 0.5471
Position: 261, Token: 共, Attention Received: 0.7059
Position: 262, Token: 和, Attention Received: 0.6753
Position: 263, Token: 国, Attention Received: 0.7169
Position: 264, Token: 刑, Attention Received: 0.9552
Position: 265, Token: 法, Attention Received: 0.9232
Position: 266, Token: 》, Attention Received: 1.2814
Position: 267, Token: ××, Attention Received: 1.8343
Position: 268, Token: #, Attention Received: 1.2106
Position: 269, Token: #, Attention Received: 1.2185
Position: 270, Token: ×, Attention Received: 1.3518
Position: 271, Token: #, Attention Received: 1.2354
Position: 272, Token: #, Attention Received: 1.3571
Position: 273, Token: ×, Attention Received: 1.5760
Position: 274, Token: 规, Attention Received: 1.3678
Position: 275, Token: 定, Attention Received: 1.0809
Position: 276, Token: 处, Attention Received: 1.5963
Position: 277, Token: 罚, Attention Received: 2.3622
Position: 278, Token: 。, Attention Received: 2.1764
Position: 279, Token: 公, Attention Received: 1.0644
Position: 280, Token: 诉, Attention Received: 1.3439
Position: 281, Token: 机, Attention Received: 0.8725
Position: 282, Token: 关, Attention Received: 0.8684
Position: 283, Token: 提, Attention Received: 1.0583
Position: 284, Token: 供, Attention Received: 1.1123
Position: 285, Token: 了, Attention Received: 1.3045
Position: 286, Token: 相, Attention Received: 1.0682
Position: 287, Token: 关, Attention Received: 0.7302
Position: 288, Token: 证, Attention Received: 1.3046
Position: 289, Token: 据, Attention Received: 1.1131
Position: 290, Token: 证, Attention Received: 1.3621
Position: 291, Token: 实, Attention Received: 1.3724
Position: 292, Token: 。, Attention Received: 1.7498
